date,exchange
2004-01-01,1171.5
2004-02-01,1178.5
2004-03-01,1143.0
2004-04-01,1173.35
2004-05-01,1160.05
2004-06-01,1154.5
2004-07-01,1166.5
2004-08-01,1151.85
2004-09-01,1151.5
2004-10-01,1119.5
2004-11-01,1048.5
2004-12-01,1035.2
2005-01-01,1026.5
2005-02-01,1004.5
2005-03-01,1017.5
2005-04-01,997.1
2005-05-01,1007.5
2005-06-01,1035.5
2005-07-01,1023.3
2005-08-01,1038.5
2005-09-01,1043.5
2005-10-01,1043.4
2005-11-01,1037.5
2005-12-01,1007.5
2006-01-01,959.87
2006-02-01,971.0
2006-03-01,971.6
2006-04-01,943.2
2006-05-01,945.7
2006-06-01,948.75
2006-07-01,955.15
2006-08-01,961.3
2006-09-01,946.25
2006-10-01,942.25
2006-11-01,929.35
2006-12-01,930.0
2007-01-01,941.5
2007-02-01,941.7
2007-03-01,940.85
2007-04-01,930.85
2007-05-01,927.75
2007-06-01,923.9
2007-07-01,919.35
2007-08-01,938.35
2007-09-01,915.15
2007-10-01,900.8
2007-11-01,921.15
2007-12-01,936.0
2008-01-01,943.85
2008-02-01,939.05
2008-03-01,990.35
2008-04-01,1003.0
2008-05-01,1028.25
2008-06-01,1051.0
2008-07-01,1012.25
2008-08-01,1089.25
2008-09-01,1206.95
2008-10-01,1282.5
2008-11-01,1469.0
2008-12-01,1263.0
2009-01-01,1381.5
2009-02-01,1533.45
2009-03-01,1374.05
2009-04-01,1278.0
2009-05-01,1258.25
2009-06-01,1274.8
2009-07-01,1222.7
2009-08-01,1249.5
2009-09-01,1176.5
2009-10-01,1186.6
2009-11-01,1163.4
2009-12-01,1166.08
2010-01-01,1158.9
2010-02-01,1160.0
2010-03-01,1132.8
2010-04-01,1108.5
2010-05-01,1202.12
2010-06-01,1223.25
2010-07-01,1182.75
2010-08-01,1199.0
2010-09-01,1140.25
2010-10-01,1124.5
2010-11-01,1157.0
2010-12-01,1120.5
2011-01-01,1119.25
2011-02-01,1124.65
2011-03-01,1095.5
2011-04-01,1068.0
2011-05-01,1078.0
2011-06-01,1066.3
2011-07-01,1054.0
2011-08-01,1064.9
2011-09-01,1180.9
2011-10-01,1111.85
2011-11-01,1140.05
2011-12-01,1158.5
2012-01-01,1125.45
2012-02-01,1118.8
2012-03-01,1131.4
2012-04-01,1129.55
2012-05-01,1179.87
2012-06-01,1140.72
2012-07-01,1130.27
2012-08-01,1133.19
2012-09-01,1113.07
2012-10-01,1089.92
2012-11-01,1081.5
2012-12-01,1063.24
2013-01-01,1087.31
2013-02-01,1083.9
2013-03-01,1111.05
2013-04-01,1101.16
2013-05-01,1130.51
2013-06-01,1141.45
2013-07-01,1123.25
2013-08-01,1109.42
2013-09-01,1073.58
2013-10-01,1060.83
2013-11-01,1057.76
2013-12-01,1049.5
2014-01-01,1080.36
2014-02-01,1066.01
2014-03-01,1064.65
2014-04-01,1032.75
2014-05-01,1020.3
2014-06-01,1011.5
2014-07-01,1027.75
2014-08-01,1013.85
2014-09-01,1054.55
2014-10-01,1072.6
2014-11-01,1112.45
2014-12-01,1092.9
2015-01-01,1101.4
2015-02-01,1100.53
2015-03-01,1107.99
2015-04-01,1076.34
2015-05-01,1112.01
2015-06-01,1119.03
2015-07-01,1165.67
2015-08-01,1181.82
2015-09-01,1184.44
2015-10-01,1140.16
2015-11-01,1159.61
2015-12-01,1174.95
2016-01-01,1207.11
2016-02-01,1237.24
2016-03-01,1143.97
2016-04-01,1143.83
2016-05-01,1188.39
2016-06-01,1150.99
2016-07-01,1110.89
2016-08-01,1115.29
2016-09-01,1100.91
2016-10-01,1141.73
2016-11-01,1176.39
2016-12-01,1206.25
2017-01-01,1150.65
2017-02-01,1136.39
2017-03-01,1116.65
2017-04-01,1136.87
2017-05-01,1118.65
2017-06-01,1144.43
2017-07-01,1118.4
2017-08-01,1123.85
2017-09-01,1144.29
2017-10-01,1117.42
2017-11-01,1087.13
2017-12-01,1066.37
2018-01-01,1069.08
2018-02-01,1084.21
2018-03-01,1060.25
2018-04-01,1069.33
2018-05-01,1079.59
2018-06-01,1113.91
2018-07-01,1112.25
2018-08-01,1115.46
2018-09-01,1109.98
2018-10-01,1141.02
2018-11-01,1119.44
2018-12-01,1113.3
2019-01-01,1111.4
2019-02-01,1124.6
2019-03-01,1136.1
2019-04-01,1163.25
2019-05-01,1187.8
2019-06-01,1155.38
2019-07-01,1187.32
2019-08-01,1209.5
2019-09-01,1198.09
2019-10-01,1169.24
2019-11-01,1180.7
2019-12-01,1154.07
2020-01-01,1194.97
2020-02-01,1200.2
2020-03-01,1218.3
2020-04-01,1212.94
2020-05-01,1231.49
2020-06-01,1199.28
2020-07-01,1193.59
2020-08-01,1187.94
2020-09-01,1164.65
2020-10-01,1136.49
2020-11-01,1109.32
2020-12-01,1084.47
2021-01-01,1117.64
2021-02-01,1123.89
2021-03-01,1127.17
2021-04-01,1117.16
2021-05-01,1106.58
2021-06-01,1130.48
2021-07-01,1151.41
2021-08-01,1158.73
2021-09-01,1184.23
2021-10-01,1174.47
2021-11-01,1182.71
2021-12-01,1187.96
2022-01-01,1204.63
2022-02-01,1200.12
2022-03-01,1214.17
2022-04-01,1263.03
2022-05-01,1242.26
2022-06-01,1287.51
2022-07-01,1302.97
2022-08-01,1341.19
2022-09-01,1439.96
2022-10-01,1425.83
2022-11-01,1301.65
2022-12-01,1260.92
2023-01-01,1233.3
2023-02-01,1323.02
2023-03-01,1306.11
2023-04-01,1337.78
2023-05-01,1320.56
2023-06-01,1315.11
2023-07-01,1277.86
2023-08-01,1325.14
2023-09-01,1352.31
2023-10-01,1352.15
2023-11-01,1299.35
2023-12-01,1294.4
2024-01-01,1333.59
2024-02-01,1334.78
2024-03-01,1345.09
2024-04-01,1385.38
2024-05-01,1381.68
2024-06-01,1380.73
2024-07-01,1369.08
2024-08-01,1336.56
2024-09-01,1317.01
2024-10-01,1372.58
2024-11-01,1394.67
2024-12-01,1476.78
2025-01-01,1457.29
2025-02-01,1461.8
2025-03-01,1473.05
2025-04-01,1424.69
2025-05-01,1382.99
2025-06-01,1352.74
2025-07-01,1392.47
2025-08-01,1388.97
2025-09-01,1404.14
2025-10-01,1429.22
2025-11-01,1467.62
2025-12-01,1440.62
2026-01-01,1450.8
2026-02-01,1451.28
