,date,ipi
37,2004-02-01,65.6
38,2004-03-01,65.2
39,2004-04-01,65.8
40,2004-05-01,65.7
41,2004-06-01,64.9
42,2004-07-01,64.8
43,2004-08-01,65.0
44,2004-09-01,65.6
45,2004-10-01,65.4
46,2004-11-01,65.3
47,2004-12-01,64.8
48,2005-01-01,66.9
49,2005-02-01,66.4
50,2005-03-01,67.6
51,2005-04-01,67.2
52,2005-05-01,67.3
53,2005-06-01,67.7
54,2005-07-01,68.0
55,2005-08-01,68.4
56,2005-09-01,68.6
57,2005-10-01,69.2
58,2005-11-01,70.8
59,2005-12-01,69.6
60,2006-01-01,70.8
61,2006-02-01,70.5
62,2006-03-01,71.0
63,2006-04-01,71.7
64,2006-05-01,72.0
65,2006-06-01,70.5
66,2006-07-01,69.2
67,2006-08-01,72.7
68,2006-09-01,73.0
69,2006-10-01,74.9
70,2006-11-01,74.6
71,2006-12-01,73.2
72,2007-01-01,73.6
73,2007-02-01,75.6
74,2007-03-01,74.2
75,2007-04-01,75.0
76,2007-05-01,75.5
77,2007-06-01,75.4
78,2007-07-01,76.5
79,2007-08-01,78.1
80,2007-09-01,76.6
81,2007-10-01,79.0
82,2007-11-01,78.9
83,2007-12-01,79.0
84,2008-01-01,79.8
85,2008-02-01,79.7
86,2008-03-01,79.3
87,2008-04-01,79.9
88,2008-05-01,79.7
89,2008-06-01,78.0
90,2008-07-01,79.2
91,2008-08-01,79.4
92,2008-09-01,78.6
93,2008-10-01,78.4
94,2008-11-01,75.1
95,2008-12-01,71.8
96,2009-01-01,73.7
97,2009-02-01,76.2
98,2009-03-01,75.9
99,2009-04-01,78.6
100,2009-05-01,77.9
101,2009-06-01,79.8
102,2009-07-01,79.8
103,2009-08-01,80.2
104,2009-09-01,82.6
105,2009-10-01,81.1
106,2009-11-01,81.4
107,2009-12-01,82.3
108,2010-01-01,81.9
109,2010-02-01,84.2
110,2010-03-01,84.6
111,2010-04-01,84.1
112,2010-05-01,85.4
113,2010-06-01,85.4
114,2010-07-01,84.7
115,2010-08-01,84.3
116,2010-09-01,84.2
117,2010-10-01,84.8
118,2010-11-01,85.1
119,2010-12-01,86.1
120,2011-01-01,88.2
121,2011-02-01,84.7
122,2011-03-01,87.8
123,2011-04-01,86.8
124,2011-05-01,87.1
125,2011-06-01,88.0
126,2011-07-01,87.3
127,2011-08-01,87.8
128,2011-09-01,87.7
129,2011-10-01,88.6
130,2011-11-01,87.5
131,2011-12-01,86.9
132,2012-01-01,87.5
133,2012-02-01,89.7
134,2012-03-01,88.4
135,2012-04-01,88.2
136,2012-05-01,89.3
137,2012-06-01,88.2
138,2012-07-01,88.7
139,2012-08-01,87.7
140,2012-09-01,88.5
141,2012-10-01,88.7
142,2012-11-01,89.2
143,2012-12-01,89.1
144,2013-01-01,89.7
145,2013-02-01,90.5
146,2013-03-01,89.0
147,2013-04-01,90.3
148,2013-05-01,90.1
149,2013-06-01,89.6
150,2013-07-01,89.5
151,2013-08-01,90.3
152,2013-09-01,89.6
153,2013-10-01,91.1
154,2013-11-01,90.7
155,2013-12-01,90.2
156,2014-01-01,92.0
157,2014-02-01,91.5
158,2014-03-01,91.6
159,2014-04-01,91.8
160,2014-05-01,90.8
161,2014-06-01,91.9
162,2014-07-01,92.3
163,2014-08-01,91.4
164,2014-09-01,90.5
165,2014-10-01,91.4
166,2014-11-01,91.3
167,2014-12-01,91.5
168,2015-01-01,91.5
169,2015-02-01,92.8
170,2015-03-01,92.1
171,2015-04-01,92.9
172,2015-05-01,91.6
173,2015-06-01,92.2
174,2015-07-01,92.4
175,2015-08-01,93.8
176,2015-09-01,95.0
177,2015-10-01,94.3
178,2015-11-01,93.9
179,2015-12-01,94.6
180,2016-01-01,93.5
181,2016-02-01,94.6
182,2016-03-01,95.2
183,2016-04-01,94.8
184,2016-05-01,96.0
185,2016-06-01,96.4
186,2016-07-01,95.9
187,2016-08-01,96.3
188,2016-09-01,96.4
189,2016-10-01,95.8
190,2016-11-01,97.4
191,2016-12-01,97.3
192,2017-01-01,97.7
193,2017-02-01,97.9
194,2017-03-01,99.0
195,2017-04-01,98.1
196,2017-05-01,98.4
197,2017-06-01,98.1
198,2017-07-01,98.4
199,2017-08-01,98.7
200,2017-09-01,100.4
201,2017-10-01,98.5
202,2017-11-01,99.3
203,2017-12-01,98.7
204,2018-01-01,99.6
205,2018-02-01,100.2
206,2018-03-01,99.0
207,2018-04-01,100.6
208,2018-05-01,100.6
209,2018-06-01,100.3
210,2018-07-01,101.1
211,2018-08-01,101.1
212,2018-09-01,100.3
213,2018-10-01,101.1
214,2018-11-01,99.8
215,2018-12-01,99.2
216,2019-01-01,100.7
217,2019-02-01,98.0
218,2019-03-01,99.2
219,2019-04-01,101.0
220,2019-05-01,101.0
221,2019-06-01,99.8
222,2019-07-01,101.8
223,2019-08-01,101.8
224,2019-09-01,101.7
225,2019-10-01,102.0
226,2019-11-01,101.9
227,2019-12-01,103.1
228,2020-01-01,103.4
229,2020-02-01,100.4
230,2020-03-01,98.6
231,2020-04-01,97.2
232,2020-05-01,95.9
233,2020-06-01,98.6
234,2020-07-01,99.8
235,2020-08-01,99.6
236,2020-09-01,101.4
237,2020-10-01,101.3
238,2020-11-01,102.2
239,2020-12-01,101.5
240,2021-01-01,101.6
241,2021-02-01,103.7
242,2021-03-01,104.5
243,2021-04-01,104.1
244,2021-05-01,104.2
245,2021-06-01,105.0
246,2021-07-01,105.2
247,2021-08-01,105.1
248,2021-09-01,106.3
249,2021-10-01,106.7
250,2021-11-01,108.0
251,2021-12-01,109.6
252,2022-01-01,110.0
253,2022-02-01,108.2
254,2022-03-01,110.0
255,2022-04-01,110.7
256,2022-05-01,110.7
257,2022-06-01,111.2
258,2022-07-01,111.9
259,2022-08-01,111.0
260,2022-09-01,110.9
261,2022-10-01,110.1
262,2022-11-01,111.0
263,2022-12-01,109.5
264,2023-01-01,108.7
265,2023-02-01,110.6
266,2023-03-01,111.6
267,2023-04-01,110.1
268,2023-05-01,111.9
269,2023-06-01,111.9
270,2023-07-01,111.1
271,2023-08-01,112.6
272,2023-09-01,114.0
273,2023-10-01,112.8
274,2023-11-01,113.5
275,2023-12-01,113.1
276,2024-01-01,113.3
277,2024-02-01,114.6
278,2024-03-01,112.7
279,2024-04-01,114.1
280,2024-05-01,113.3
281,2024-06-01,113.1
282,2024-07-01,112.4
283,2024-08-01,113.5
284,2024-09-01,113.2
285,2024-10-01,113.8
286,2024-11-01,112.4
287,2024-12-01,114.4
288,2025-01-01,112.6
289,2025-02-01,113.4
290,2025-03-01,114.6
291,2025-04-01,113.8
292,2025-05-01,112.4
293,2025-06-01,114.2
294,2025-07-01,114.6
295,2025-08-01,114.3
296,2025-09-01,115.8
297,2025-10-01,112.8
298,2025-11-01,113.8
299,2025-12-01,115.5
