date,hh_loan
2008-01-01,473606.9
2008-02-01,476919.4
2008-03-01,480414.6
2008-04-01,485302.9
2008-05-01,489620.6
2008-06-01,494953.7
2008-07-01,498816.4
2008-08-01,502479.5
2008-09-01,506379.7
2008-10-01,509177.8
2008-11-01,511993.9
2008-12-01,515264.0
2009-01-01,511998.3
2009-02-01,514789.4
2009-03-01,516625.8
2009-04-01,518871.1
2009-05-01,522217.3
2009-06-01,527686.8
2009-07-01,532047.6
2009-08-01,536675.5
2009-09-01,537787.6
2009-10-01,541111.7
2009-11-01,545793.5
2009-12-01,549760.0
2010-01-01,548723.3
2010-02-01,549462.9
2010-03-01,553139.7
2010-04-01,556580.2
2010-05-01,562771.4
2010-06-01,566741.3
2010-07-01,569875.5
2010-08-01,573315.8
2010-09-01,576424.7
2010-10-01,581735.1
2010-11-01,588076.5
2010-12-01,593540.4
2011-01-01,593505.9
2011-02-01,596531.9
2011-03-01,599373.8
2011-04-01,603754.6
2011-05-01,609153.2
2011-06-01,614639.1
2011-07-01,618984.7
2011-08-01,624049.2
2011-09-01,625419.4
2011-10-01,631117.1
2011-11-01,634860.0
2011-12-01,639605.6
2012-01-01,636200.9
2012-02-01,637211.6
2012-03-01,637123.8
2012-04-01,639583.9
2012-05-01,642741.1
2012-06-01,645854.9
2012-07-01,647552.4
2012-08-01,649818.9
2012-09-01,648512.3
2012-10-01,651132.8
2012-11-01,653102.3
2012-12-01,659858.3
2013-01-01,656243.3
2013-02-01,654445.9
2013-03-01,655063.9
2013-04-01,656479.2
2013-05-01,659877.1
2013-06-01,666423.4
2013-07-01,667545.9
2013-08-01,670827.5
2013-09-01,672072.2
2013-10-01,676077.7
2013-11-01,681121.3
2013-12-01,687186.4
2014-01-01,685180.7
2014-02-01,688137.3
2014-03-01,690570.9
2014-04-01,695539.1
2014-05-01,699317.6
2014-06-01,705225.9
2014-07-01,710954.9
2014-08-01,717236.0
2014-09-01,722884.9
2014-10-01,730645.4
2014-11-01,738162.3
2014-12-01,745823.2
2015-01-01,746493.7
2015-02-01,750272.9
2015-03-01,755124.9
2015-04-01,765240.8
2015-05-01,768150.8
2015-06-01,759947.8
2015-07-01,763268.2
2015-08-01,773068.4
2015-09-01,780590.2
2015-10-01,792401.9
2015-11-01,801296.2
2015-12-01,812360.0
2016-01-01,815207.3
2016-02-01,818680.7
2016-03-01,825506.0
2016-04-01,833242.2
2016-05-01,843348.3
2016-06-01,853309.9
2016-07-01,861646.9
2016-08-01,873305.7
2016-09-01,881665.9
2016-10-01,891837.3
2016-11-01,903488.8
2016-12-01,908675.7
2017-01-01,908985.0
2017-02-01,912946.4
2017-03-01,917092.7
2017-04-01,922033.7
2017-05-01,929148.3
2017-06-01,935349.8
2017-07-01,941743.1
2017-08-01,949144.2
2017-09-01,954593.1
2017-10-01,962261.4
2017-11-01,970075.9
2017-12-01,974569.5
2018-01-01,977550.2
2018-02-01,979588.3
2018-03-01,983476.5
2018-04-01,988921.3
2018-05-01,993826.4
2018-06-01,998893.0
2018-07-01,1002849.6
2018-08-01,1008702.7
2018-09-01,1013127.3
2018-10-01,1021081.8
2018-11-01,1028383.4
2018-12-01,1033817.4
2019-01-01,1033202.7
2019-02-01,1034535.0
2019-03-01,1035954.4
2019-04-01,1040219.5
2019-05-01,1045049.6
2019-06-01,1049758.6
2019-07-01,1055549.3
2019-08-01,1062421.8
2019-09-01,1066472.0
2019-10-01,1074495.9
2019-11-01,1080365.6
2019-12-01,1083982.0
2020-01-01,1083511.5
2020-02-01,1086425.4
2020-03-01,1094531.8
2020-04-01,1099520.7
2020-05-01,1103055.0
2020-06-01,1109118.1
2020-07-01,1116049.9
2020-08-01,1128096.9
2020-09-01,1138181.0
2020-10-01,1149710.3
2020-11-01,1166027.4
2020-12-01,1173695.4
2021-01-01,1181802.1
2021-02-01,1190056.7
2021-03-01,1197922.8
2021-04-01,1216813.4
2021-05-01,1212641.6
2021-06-01,1219371.2
2021-07-01,1232276.9
2021-08-01,1240150.7
2021-09-01,1248662.8
2021-10-01,1254844.2
2021-11-01,1260637.1
2021-12-01,1261485.9
2022-01-01,1259864.4
2022-02-01,1258508.5
2022-03-01,1254501.2
2022-04-01,1254664.8
2022-05-01,1254617.4
2022-06-01,1255249.9
2022-07-01,1253182.2
2022-08-01,1253112.1
2022-09-01,1252127.4
2022-10-01,1251804.7
2022-11-01,1249860.0
2022-12-01,1248001.1
2023-01-01,1240718.5
2023-02-01,1235202.3
2023-03-01,1226067.8
2023-04-01,1221569.5
2023-05-01,1221655.6
2023-06-01,1223078.9
2023-07-01,1225324.9
2023-08-01,1227349.5
2023-09-01,1228284.3
2023-10-01,1231967.7
2023-11-01,1234368.2
2023-12-01,1233861.3
2024-01-01,1235130.2
2024-02-01,1233935.6
2024-03-01,1229080.1
2024-04-01,1233049.0
2024-05-01,1237992.0
2024-06-01,1242464.2
2024-07-01,1247772.8
2024-08-01,1257475.3
2024-09-01,1263439.2
2024-10-01,1267809.9
2024-11-01,1273013.3
2024-12-01,1276372.0
2025-01-01,1277024.8
2025-02-01,1282622.5
2025-03-01,1285753.6
2025-04-01,1292605.6
2025-05-01,1299395.7
2025-06-01,1307977.8
2025-07-01,1312175.0
2025-08-01,1317769.1
2025-09-01,1320041.5
2025-10-01,1325127.0
2025-11-01,1329350.4
